Date,metric,ticker,value
2019-06-10,Open,3UKL.L,23071.0
2019-06-11,Open,3UKL.L,23440.0
2019-06-12,Open,3UKL.L,22915.0
2019-06-13,Open,3UKL.L,23220.0
2019-06-14,Open,3UKL.L,22650.0
2019-06-17,Open,3UKL.L,23000.0
2019-06-18,Open,3UKL.L,23250.0
2019-06-19,Open,3UKL.L,23779.0
2019-06-20,Open,3UKL.L,23565.0
2019-06-21,Open,3UKL.L,23740.0
2019-06-24,Open,3UKL.L,23453.0
2019-06-25,Open,3UKL.L,23505.0
2019-06-26,Open,3UKL.L,23625.0
2019-06-27,Open,3UKL.L,23780.0
2019-06-28,Open,3UKL.L,23487.0
2019-07-01,Open,3UKL.L,24276.0
2019-07-02,Open,3UKL.L,24596.0
2019-07-03,Open,3UKL.L,25318.837890625
2019-07-04,Open,3UKL.L,25415.0
2019-07-05,Open,3UKL.L,25144.859375
2019-07-08,Open,3UKL.L,24851.880859375
2019-07-09,Open,3UKL.L,24596.0
2019-07-10,Open,3UKL.L,24793.0
2019-07-11,Open,3UKL.L,24810.2109375
2019-07-12,Open,3UKL.L,24328.0
2019-07-15,Open,3UKL.L,24338.0
2019-07-16,Open,3UKL.L,24820.0
2019-07-17,Open,3UKL.L,24990.0
2019-07-18,Open,3UKL.L,24247.0
2019-07-19,Open,3UKL.L,24638.0
2019-07-22,Open,3UKL.L,24728.359375
2019-07-23,Open,3UKL.L,24897.0
2019-07-24,Open,3UKL.L,24614.0
2019-07-25,Open,3UKL.L,24015.68359375
2019-07-26,Open,3UKL.L,24798.0
2019-07-29,Open,3UKL.L,25611.0
2019-07-30,Open,3UKL.L,26341.0
2019-07-31,Open,3UKL.L,25455.0
2019-08-01,Open,3UKL.L,24659.0
2019-08-02,Open,3UKL.L,24037.0
2019-08-05,Open,3UKL.L,22503.0
2019-08-06,Open,3UKL.L,21300.0
2019-08-07,Open,3UKL.L,21415.0
2019-08-08,Open,3UKL.L,21679.0
2019-08-09,Open,3UKL.L,22392.0
2019-08-12,Open,3UKL.L,21815.0
2019-08-13,Open,3UKL.L,21435.0
2019-08-14,Open,3UKL.L,21440.0
2019-08-15,Open,3UKL.L,21239.0
2019-08-16,Open,3UKL.L,20816.0
2019-08-19,Open,3UKL.L,21700.0
2019-08-20,Open,3UKL.L,21999.0
2019-08-21,Open,3UKL.L,21449.0
2019-08-22,Open,3UKL.L,21554.0
2019-08-23,Open,3UKL.L,21343.0
2019-08-27,Open,3UKL.L,20731.439453125
2019-08-28,Open,3UKL.L,20930.0
2019-08-29,Open,3UKL.L,21234.0
2019-08-30,Open,3UKL.L,21941.0
2019-09-02,Open,3UKL.L,22270.0
2019-09-03,Open,3UKL.L,22701.0
2019-09-04,Open,3UKL.L,22600.0
2019-09-05,Open,3UKL.L,22964.0
2019-09-06,Open,3UKL.L,22520.0
2019-09-09,Open,3UKL.L,22900.0
2019-09-10,Open,3UKL.L,22050.0
2019-09-11,Open,3UKL.L,23100.0
2019-09-12,Open,3UKL.L,23218.0
2019-09-13,Open,3UKL.L,23340.0
2019-09-16,Open,3UKL.L,23350.0
2019-09-17,Open,3UKL.L,22900.0
2019-09-18,Open,3UKL.L,22917.69921875
2019-09-19,Open,3UKL.L,23340.0
2019-09-20,Open,3UKL.L,23140.0
2019-09-23,Open,3UKL.L,22860.0
2019-09-24,Open,3UKL.L,23140.0
2019-09-25,Open,3UKL.L,22350.0
2019-09-26,Open,3UKL.L,22910.0
2019-09-27,Open,3UKL.L,23860.0
2019-09-30,Open,3UKL.L,24030.0
2019-10-01,Open,3UKL.L,23724.0
2019-10-02,Open,3UKL.L,22853.0
2019-10-03,Open,3UKL.L,21007.0
2019-10-04,Open,3UKL.L,20882.0
2019-10-07,Open,3UKL.L,21360.0
2019-10-08,Open,3UKL.L,21975.0
2019-10-09,Open,3UKL.L,21490.0
2019-10-10,Open,3UKL.L,21270.0
2019-10-11,Open,3UKL.L,21500.0
2019-10-14,Open,3UKL.L,22080.0
2019-10-15,Open,3UKL.L,22190.0
2019-10-16,Open,3UKL.L,21808.0
2019-10-17,Open,3UKL.L,21615.0
2019-10-18,Open,3UKL.L,21586.0
2019-10-21,Open,3UKL.L,21423.0
2019-10-22,Open,3UKL.L,21530.0
2019-10-23,Open,3UKL.L,21940.0
2019-10-24,Open,3UKL.L,22755.0
2019-10-25,Open,3UKL.L,22705.0
2019-10-28,Open,3UKL.L,22725.0
2019-10-29,Open,3UKL.L,22800.0
2019-10-30,Open,3UKL.L,22750.0
2019-10-31,Open,3UKL.L,22970.0
2019-11-01,Open,3UKL.L,22480.0
2019-11-04,Open,3UKL.L,22960.0
2019-11-05,Open,3UKL.L,23545.0
2019-11-06,Open,3UKL.L,23300.0
2019-11-07,Open,3UKL.L,23879.0
2019-11-08,Open,3UKL.L,23470.0
2019-11-11,Open,3UKL.L,22940.0
2019-11-12,Open,3UKL.L,23177.0
2019-11-13,Open,3UKL.L,23130.0
2019-11-14,Open,3UKL.L,23210.0
2019-11-15,Open,3UKL.L,23160.0
2019-11-18,Open,3UKL.L,23000.0
2019-11-19,Open,3UKL.L,23110.0
2019-11-20,Open,3UKL.L,22630.0
2019-11-21,Open,3UKL.L,22200.0
2019-11-22,Open,3UKL.L,22580.0
2019-11-25,Open,3UKL.L,23450.0
2019-11-26,Open,3UKL.L,23730.0
2019-11-27,Open,3UKL.L,24150.0
2019-11-28,Open,3UKL.L,23760.0
2019-11-29,Open,3UKL.L,23720.0
2019-12-02,Open,3UKL.L,23715.0
